trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1269,False,"{'a': 0.5, 'e': 0.14256076092738393}",25,0,-16.22116882518096,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1270,False,"{'a': 0.5, 'e': 0.14234208995242847}",20,4,22.366236595646516,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1271,False,"{'a': 0.5, 'e': 0.14212375439231636}",30,6,13.900340664823725,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
1272,False,"{'a': 0.5, 'e': 0.1419057537325617}",25,4,-10.419188883873066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
1273,False,"{'a': 0.5, 'e': 0.14168808745946787}",20,0,21.325155311487656,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1274,False,"{'a': 0.5, 'e': 0.14147075506012613}",25,7,-15.51977330557818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1275,False,"{'a': 0.5, 'e': 0.1412537560224145}",20,1,-52.70214572454677,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
1276,False,"{'a': 0.5, 'e': 0.14103708983499655}",20,0,-2.3412467814792848,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1277,False,"{'a': 0.5, 'e': 0.14082075598732013}",25,8,-14.057439407834085,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1278,False,"{'a': 0.5, 'e': 0.14060475396961633}",35,0,-67.57899812270954,"{0: 31, 1: 1, 2: 0, 3: 1, 4: 2}",0
1279,False,"{'a': 0.5, 'e': 0.14038908327289798}",20,1,-52.17039548202355,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
1280,False,"{'a': 0.5, 'e': 0.1401737433889588}",20,0,-14.782455479572977,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1281,False,"{'a': 0.5, 'e': 0.13995873381037197}",20,0,-58.645066104498255,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
1282,False,"{'a': 0.5, 'e': 0.13974405403048895}",25,13,17.67123072495209,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1283,False,"{'a': 0.5, 'e': 0.1395297035434385}",30,24,7.977645884617021,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1284,False,"{'a': 0.5, 'e': 0.1393156818441251}",25,0,-27.514738374903697,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
1285,False,"{'a': 0.5, 'e': 0.1391019884282282}",20,3,24.086523812864407,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1286,False,"{'a': 0.5, 'e': 0.13888862279220068}",25,0,-108.90052691809011,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
1287,False,"{'a': 0.5, 'e': 0.1386755844332678}",25,11,-30.062821552630115,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1288,False,"{'a': 0.5, 'e': 0.13846287284942616}",20,14,10.720317419088696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1289,False,"{'a': 0.5, 'e': 0.13825048753944216}",35,0,-88.52056171471318,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
1290,False,"{'a': 0.5, 'e': 0.13803842800285124}",25,14,-48.05519422225588,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
1291,False,"{'a': 0.5, 'e': 0.1378266937399563}",25,0,-11.992973885873326,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
1292,False,"{'a': 0.5, 'e': 0.1376152842518269}",20,0,24.82650163638101,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
1293,False,"{'a': 0.5, 'e': 0.13740419904029771}",30,20,-23.287845274981965,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1294,False,"{'a': 0.5, 'e': 0.13719343760796768}",25,1,-59.63044700901563,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
1295,False,"{'a': 0.5, 'e': 0.13698299945819867}",20,0,24.808862975493017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1296,False,"{'a': 0.5, 'e': 0.1367728840951143}",25,0,-68.70748172291697,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
1297,False,"{'a': 0.5, 'e': 0.1365630910235988}",20,0,3.561091336678154,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1298,False,"{'a': 0.5, 'e': 0.1363536197492958}",25,0,2.8147231142116045,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1299,False,"{'a': 0.5, 'e': 0.13614446977860742}",25,15,17.47817533938902,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1300,False,"{'a': 0.5, 'e': 0.13593564061869262}",25,13,-81.64342565745434,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
1301,False,"{'a': 0.5, 'e': 0.13572713177746648}",30,15,-1.6394060477469472,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
1302,False,"{'a': 0.5, 'e': 0.13551894276359894}",20,9,15.022432223031377,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.5, 'e': 0.13531107308651338}",20,0,29.09133907241707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1304,False,"{'a': 0.5, 'e': 0.1351035222563858}",20,0,-18.908898762167013,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1305,False,"{'a': 0.5, 'e': 0.13489628978414359}",25,8,23.99361420541958,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.5, 'e': 0.13468937518146415}",20,11,7.50658811920048,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1307,False,"{'a': 0.5, 'e': 0.13448277796077396}",25,0,6.984240485036724,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
1308,False,"{'a': 0.5, 'e': 0.13427649763524754}",25,0,-76.3313437084304,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
1309,False,"{'a': 0.5, 'e': 0.13407053371880595}",25,9,24.450145061995485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.5, 'e': 0.13386488572611588}",25,17,-27.05032380486198,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1311,False,"{'a': 0.5, 'e': 0.13365955317258846}",20,0,12.52246638818953,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1312,False,"{'a': 0.5, 'e': 0.13345453557437822}",30,7,-13.186335307437353,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
1313,False,"{'a': 0.5, 'e': 0.13324983244838173}",25,11,5.959502654413833,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1314,False,"{'a': 0.5, 'e': 0.1330454433122366}",20,2,23.881569045213922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.5, 'e': 0.13284136768432045}",25,0,-34.107695342749,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
1316,False,"{'a': 0.5, 'e': 0.13263760508374947}",20,0,17.72707482731461,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1317,False,"{'a': 0.5, 'e': 0.13243415503037756}",25,8,-30.841242365996127,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
1318,False,"{'a': 0.5, 'e': 0.13223101704479506}",20,8,7.980997085820359,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1319,False,"{'a': 0.5, 'e': 0.1320281906483278}",20,3,-34.154090608330506,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
1320,False,"{'a': 0.5, 'e': 0.1318256753630357}",25,11,14.137954597067523,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1321,False,"{'a': 0.5, 'e': 0.13162347071171174}",20,0,-28.207440637971693,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1322,False,"{'a': 0.5, 'e': 0.1314215762178811}",35,0,-31.10158542689626,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
1323,False,"{'a': 0.5, 'e': 0.1312199914057996}",25,1,-53.502596582108524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
1324,False,"{'a': 0.5, 'e': 0.13101871580045288}",25,0,18.6684812346924,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
